Date,Timestamp,Bugs overall,Open overall,Enhancements,Actual bugs,Needinfo,Workable bugs,Bugs with patch,Opened last week,Changed last week,Closed last week,Distribution
2015-05-31 23:44,0,3362,552,35,516,155,360,4,0,0,0,{}
2015-06-20 23:59,0,3380,537,43,493,135,357,5,0,0,0,{}
2015-07-08 21:49,0,3398,531,45,485,132,352,7,5,19,11,{}
2015-07-16 11:25,0,3403,529,48,480,133,346,7,5,16,7,{}
2015-08-09 23:56,0,3431,536,63,472,130,341,8,13,25,10,{}
2015-08-10 10:21,0,3431,535,63,472,131,341,8,12,24,9,{XSSF=109; HSSF=88; HWPF=36; HSLF=33; XWPF=22; XSLF=14; POI Overall=10; SS Common=9; SXSSF=8; HPSF=5; OPC=3; POIFS=2; HDGF=1; HSMF=1}
2015-08-23 21:46,0,3443,522,63,459,126,333,19,7,28,20,{XSSF=103; HSSF=89; HWPF=36; HSLF=33; XWPF=22; XSLF=15; SS Common=11; SXSSF=8; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-03 21:29,0,3448,524,63,461,126,335,18,4,17,4,{XSSF=105; HSSF=89; HWPF=36; HSLF=34; XWPF=22; XSLF=15; SS Common=10; SXSSF=8; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-11 21:26,0,3461,524,74,450,126,324,20,11,34,15,{XSSF=93; HSSF=89; HWPF=37; HSLF=33; XWPF=22; XSLF=15; SS Common=12; SXSSF=8; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-13 14:40,0,3463,525,75,450,127,323,20,11,27,12,{XSSF=91; HSSF=89; HWPF=37; HSLF=33; XWPF=22; XSLF=15; SS Common=13; SXSSF=8; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-17 21:24,0,3469,512,80,432,116,316,19,10,56,23,{HSSF=90; XSSF=80; HWPF=37; HSLF=33; XWPF=22; XSLF=15; SS Common=11; SXSSF=11; POI Overall=6; HPSF=5; XDGF=2; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-20 22:17,0,3469,507,78,429,116,313,19,6,28,9,{HSSF=90; XSSF=79; HWPF=37; HSLF=32; XWPF=22; XSLF=15; SS Common=11; SXSSF=11; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1; XDGF=1}
2015-09-29 12:35,0,3482,515,83,432,115,317,20,6,25,5,{HSSF=87; XSSF=82; HWPF=37; HSLF=33; XWPF=22; SS Common=16; XSLF=14; SXSSF=10; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-29 12:46,1443523590351,3482,515,83,432,115,317,20,6,25,5,{HSSF=87; XSSF=82; HWPF=37; HSLF=33; XWPF=22; SS Common=16; XSLF=14; SXSSF=10; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-09-29 12:47,1443523654556,3482,515,83,432,115,317,20,6,25,5,{HSSF=87; XSSF=82; HWPF=37; HSLF=33; XWPF=22; SS Common=16; XSLF=14; SXSSF=10; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-10-01 16:07,1443708451303,3484,513,83,430,116,314,19,5,28,7,{HSSF=86; XSSF=81; HWPF=36; HSLF=33; XWPF=22; SS Common=16; XSLF=14; SXSSF=10; POI Overall=7; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-10-14 21:28,1444850919466,3490,513,88,425,117,308,18,2,9,4,{HSSF=85; XSSF=78; HWPF=35; HSLF=33; XWPF=22; SS Common=15; XSLF=15; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-10-26 22:14,1445894085342,3499,511,89,422,118,304,15,8,20,10,{HSSF=82; XSSF=77; HWPF=35; HSLF=34; XWPF=23; XSLF=15; SS Common=13; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-10-29 13:48,1446122899052,3503,505,89,416,122,294,14,9,56,19,{HSSF=81; XSSF=70; HWPF=35; HSLF=34; XWPF=23; XSLF=14; SS Common=12; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-10-30 22:36,1446240963085,3503,498,89,409,122,287,14,8,62,21,{HSSF=80; XSSF=70; HWPF=35; HSLF=32; XWPF=23; XSLF=13; SS Common=10; SXSSF=9; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-02 06:26,1446442001334,3504,487,86,401,119,282,13,5,66,28,{HSSF=80; XSSF=70; HWPF=35; HSLF=27; XWPF=23; XSLF=13; SXSSF=10; SS Common=9; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-02 19:16,1446488196994,3506,488,86,402,119,283,13,7,69,29,{HSSF=80; XSSF=70; HWPF=35; HSLF=27; XWPF=23; XSLF=13; SS Common=10; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-09 08:20,1447053636799,3511,482,87,395,120,275,13,5,21,10,{HSSF=78; XSSF=67; HWPF=35; XWPF=24; HSLF=22; XSLF=13; SS Common=11; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-10 09:23,1447143803765,3511,479,87,392,118,274,14,2,22,12,{HSSF=78; XSSF=67; HWPF=36; XWPF=24; HSLF=20; XSLF=13; SS Common=11; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-10 14:37,1447162678300,3511,479,87,392,118,274,14,2,22,12,{HSSF=78; XSSF=67; HWPF=36; XWPF=24; HSLF=20; XSLF=13; SS Common=11; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-10 14:39,1447162774278,3511,479,87,392,118,274,14,2,22,12,{HSSF=78; XSSF=67; HWPF=36; XWPF=24; HSLF=20; XSLF=13; SS Common=11; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-15 12:31,1447587101493,3512,477,87,390,117,273,14,1,14,11,{HSSF=79; XSSF=67; HWPF=36; XWPF=23; HSLF=19; XSLF=13; SS Common=11; SXSSF=10; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-11-29 21:24,1448828663555,3531,475,89,386,116,270,14,13,32,16,{HSSF=78; XSSF=67; HWPF=36; XWPF=24; HSLF=13; SS Common=13; XSLF=13; SXSSF=10; POI Overall=6; HPSF=5; POIFS=2; HDGF=1; HSMF=1; OPC=1}
2015-12-05 17:42,1449333724193,3535,469,88,381,118,263,14,5,30,19,{HSSF=78; XSSF=64; HWPF=36; XWPF=24; XSLF=13; HSLF=12; SS Common=12; SXSSF=8; POI Overall=6; HPSF=5; POIFS=2; HDGF=1; HSMF=1; OPC=1}
2015-12-06 22:55,1449438959062,3536,470,88,382,118,264,14,5,23,12,{HSSF=78; XSSF=64; HWPF=36; XWPF=24; XSLF=13; HSLF=12; SS Common=12; SXSSF=8; POI Overall=7; HPSF=5; POIFS=2; HDGF=1; HSMF=1; OPC=1}
2015-12-13 21:39,1450039147180,3540,473,89,384,121,263,14,4,9,3,{HSSF=78; XSSF=65; HWPF=36; XWPF=24; XSLF=13; HSLF=12; SS Common=12; SXSSF=8; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2015-12-28 22:01,1451336472499,3549,476,90,386,122,264,15,3,14,6,{HSSF=78; XSSF=66; HWPF=36; XWPF=24; XSLF=13; HSLF=12; SS Common=12; SXSSF=8; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2016-01-01 17:33,1451666028406,3552,468,91,377,118,259,13,4,25,18,{HSSF=77; XSSF=64; HWPF=36; XWPF=23; XSLF=14; SS Common=13; HSLF=9; SXSSF=8; POI Overall=6; HPSF=5; HDGF=1; HSMF=1; OPC=1; POIFS=1}
2016-01-03 14:31,1451827911400,3554,467,92,375,119,256,13,6,33,20,{HSSF=78; XSSF=62; HWPF=36; XWPF=22; XSLF=14; SS Common=11; HSLF=9; SXSSF=8; POI Overall=6; HPSF=5; OPC=2; HDGF=1; HSMF=1; POIFS=1}
2016-01-16 09:32,1452933150600,3570,472,94,378,120,258,11,6,20,9,{HSSF=78; XSSF=62; HWPF=39; XWPF=23; SS Common=12; XSLF=12; HSLF=9; SXSSF=8; POI Overall=6; HPSF=4; OPC=2; HDGF=1; HSMF=1; POIFS=1}
2016-01-16 12:31,1452943899323,3570,472,94,378,120,258,11,6,20,9,{HSSF=78; XSSF=62; HWPF=39; XWPF=23; SS Common=12; XSLF=12; HSLF=9; SXSSF=8; POI Overall=6; HPSF=4; OPC=2; HDGF=1; HSMF=1; POIFS=1}
2016-01-21 20:49,1453405772009,3576,474,95,379,121,258,11,7,17,7,{HSSF=78; XSSF=62; HWPF=39; XWPF=23; SS Common=13; XSLF=12; HSLF=8; SXSSF=8; POI Overall=6; HPSF=4; OPC=2; HDGF=1; HSMF=1; POIFS=1}
